name,distance,street,latitude,longitude,categories
Gyo Para Gyoza & Ramen Bar,105,2120 Broadway W,49.263542,-123.153452,Ramen Restaurant
Sing Sing Beer Bar,517,2718 Main St,49.260652,-123.100815,"Beer Bar,Restaurant"
Nuba Restaurant Group Inc,27,508 Davie St,49.275933,-123.124585,Middle Eastern Restaurant
Thai Son Restaurant,103,373 Broadway E,49.262942,-123.096873,"Thai Restaurant,Vietnamese Restaurant"
Miko Sushi Japanese Restaurant,57,1335 Robson St,49.287422,-123.128893,Sushi Restaurant
Le Crocodile Restaurant,46,100A90 Burrard St,49.282578,-123.125234,French Restaurant
Sushi Bar Maumi,328,1226 Bute St,49.281457,-123.133655,Sushi Restaurant
Papaya Hut Restaurant,207,2435 Burrard St,49.264119,-123.14596,"Pizzeria,Fast Food Restaurant,Thai Restaurant"
The Keg Steakhouse & Bar,111,1499 Anderson St,49.271157,-123.135695,Restaurant
Axum Ethiopian Restaurant,288,1279E Hastings St E,49.281525,-123.077764,"Diner,Ethiopian Restaurant"
Homer St. Cafe and Bar,92,898 Homer St,49.278455,-123.11823,"Restaurant,Café"
Earl's Restaurant,44,1185 Robson St,49.285939,-123.126494,American Restaurant
The Naam Restaurant,555,2724 4th Ave W,49.268235,-123.166991,Vegan and Vegetarian Restaurant
Brock House Restaurant,371,3875 Pt Grey Rd,49.271757,-123.190566,"Event Space,Restaurant"
The Naam Restaurant,823,2724 4th Ave W,49.268235,-123.166991,Vegan and Vegetarian Restaurant
Cardero's Restaurant & Marine Pub,177,1583 Coal Harbour Quay,49.291554,-123.127461,"Bar,Fish and Chips Shop,Seafood Restaurant"
Gyo Para Gyoza & Ramen Bar,140,2120 Broadway W,49.263542,-123.153452,Ramen Restaurant
Iki Japanese Restaurant,106,2756W Broadway W,49.263874,-123.167508,"Diner,Sushi Restaurant"
Colony Bar,221,3255 Broadway W,49.264392,-123.176958,"Bar,Restaurant"
Gracie Barra Kitsilano,62,3611 Broadway W,49.264605,-123.184517,Martial Arts Dojo
Kishimoto Japanese Kitchen + Sushi Bar,334,2054 Commercial Dr,49.26661,-123.069522,Sushi Restaurant
Hachibei Restaurant,445,778 16th Ave W,49.256894,-123.121582,Japanese Restaurant
Brock House Restaurant,325,3875 Pt Grey Rd,49.271757,-123.190566,"Event Space,Restaurant"
Chewie's Steam & Oyster Bar,398,2201 1 St Ave W,49.271063,-123.155394,"Cajun and Creole Restaurant,Seafood Restaurant,South American Restaurant"
The Naam Restaurant,516,2724 4th Ave W,49.268235,-123.166991,Vegan and Vegetarian Restaurant
Iki Japanese Restaurant,204,2756W Broadway W,49.263874,-123.167508,"Diner,Sushi Restaurant"
A&W Restaurant,267,2083 Alma St,49.268496,-123.185906,"American Restaurant,Fast Food Restaurant"
Shiro Japanese Restaurant,345,3096 Cambie St,49.257932,-123.114615,"Diner,Sushi Restaurant"
Castaway Bar and Kitchen,35,3293 4th Ave W,49.268731,-123.177251,"Bar,Restaurant"
Hachibei Restaurant,242,778 16th Ave W,49.256894,-123.121582,Japanese Restaurant
The Naam Restaurant,401,2724 4th Ave W,49.268235,-123.166991,Vegan and Vegetarian Restaurant
Sun Sui Wah Seafood Restaurant,236,3888 Main St,49.250435,-123.100757,"Cantonese Restaurant,Dim Sum Restaurant,Seafood Restaurant"
A&W Restaurant,178,1150 Station St,49.273801,-123.097959,"American Restaurant,Fast Food Restaurant"
Brock House Restaurant,107,3875 Pt Grey Rd,49.271757,-123.190566,"Event Space,Restaurant"
Maxine's Cafe & Bar,66,1325 Burrard St,49.277941,-123.131327,Restaurant
Bao Down Gastropub + Raw Bar,185,115 2nd Ave W,49.2695,-123.107408,"Bar,Asian Restaurant"
Sylvia's Bar,116,1154 Gilford St,49.288559,-123.142618,Bar
Sylvia's Bar,72,1154 Gilford St,49.288559,-123.142618,Bar
Shiro Japanese Restaurant,183,3096 Cambie St,49.257932,-123.114615,"Diner,Sushi Restaurant"
Olympia Restaurant,37,998 Denman St,49.289408,-123.138229,"Pizzeria,Greek Restaurant"
Tableau Bar Bistro,42,1181 Melville St,49.287591,-123.123553,French Restaurant
Pourhouse Restaurant,312,162 Water St,49.284105,-123.108409,"Restaurant,Lounge"
Pourhouse Restaurant,312,162 Water St,49.284105,-123.108409,"Restaurant,Lounge"
Peaceful Restaurant,391,532 Broadway W,49.263051,-123.116024,Dim Sum Restaurant
Sing Sing Beer Bar,244,2718 Main St,49.260652,-123.100815,"Beer Bar,Restaurant"
Peaceful Restaurant,558,532 Broadway W,49.263051,-123.116024,Dim Sum Restaurant
Barkusky Michael,462,4088 Cambie St,49.249255,-123.115173,Accounting and Bookkeeping Service
Kaide Sushi Bar,229,1375 Richards St,49.274178,-123.127112,Sushi Restaurant
Ajisai Sushi Bar,468,2081 42nd Ave W,49.233959,-123.153755,Sushi Restaurant
Shaughnessy Restaurant,928,5251 Oak St,49.238654,-123.129837,Restaurant
Sawasdee Thai Restaurant,408,4250E Main St,49.247047,-123.100956,Thai Restaurant
Pho Tan Vietnamese Restaurant,274,4598 Main St,49.243467,-123.101057,Vietnamese Restaurant
Koko Japanese Restaurant Ltd,427,2053 Hastings St E,49.281347,-123.062575,Sushi Restaurant
Koko Japanese Restaurant Ltd,315,2053 Hastings St E,49.281347,-123.062575,Sushi Restaurant
Koko Japanese Restaurant Ltd,707,2053 Hastings St E,49.281347,-123.062575,Sushi Restaurant
